top - 14:05:30 up  2:54,  2 users,  load average: 10,58, 9,92, 6,29
Tasks: 447 total,  16 running, 424 sleeping,   7 stopped,   0 zombie
%Cpu(s): 57,4 us, 41,8 sy,  0,3 ni,  0,3 id,  0,0 wa,  0,3 hi,  0,0 si,  0,0 st 
MiB Mem :  15337,5 total,    453,6 free,   9179,9 used,   6532,0 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6157,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2039 anton     20   0   32,4g  56704  44672 S   0,0   0,4   0:00.13 outline+
   2109 anton     20   0   32,4g  14452   1928 S   0,0   0,1   0:00.00 outline+
   2172 anton     20   0    9096   7656   5736 S   0,0   0,0   0:00.04 bash
   2174 anton     20   0    9360   7816   5640 S   0,0   0,0   0:00.47 bash
   2321 anton     20   0   32,0g   2940   2684 S   0,0   0,0   0:00.00 chrome_+
   3170 anton     20   0   32,7g  96916  51996 S   0,0   0,6   0:00.90 outline+
   3234 anton     20   0   32,5g  77204  64024 S   0,0   0,5   0:00.70 outline+
   3266 anton     20   0   40,7g 164760 110548 S   0,0   1,0   0:01.90 outline+
   5984 root      20   0  155304   5308   5052 S   0,0   0,0   0:00.21 gpg-age+
   6727 root      20   0       0      0      0 I   0,0   0,0   0:00.45 kworker+
  15083 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
  17169 anton     20   0 1132,3g 613364 223308 S   0,0   3,9   0:43.72 code
  17172 anton     20   0   32,7g 138048 125888 S   0,0   0,9   0:00.09 code
  17173 anton     20   0   32,7g 137632 125472 S   0,0   0,9   0:00.08 code
  17175 anton     20   0   32,7g  15700   3484 S   0,0   0,1   0:00.04 code
  17189 anton     20   0   32,0g   3132   2876 S   0,0   0,0   0:00.00 chrome_+
  17210 anton     20   0   32,5g 160364 146144 S   0,0   1,0   0:09.67 code
  17301 anton     20   0 1132,1g 221052 158960 S   0,0   1,4   0:30.98 code
  17302 anton     20   0 1132,1g 185700 160364 S   0,0   1,2   0:15.75 code
